Strategy,Turnover
Core_Only,0.0
Alpha_Always_Only,0.13827015276439744
Core90_Alpha10,0.013827015276439744
Core85_Alpha15,0.020740522914659616
Core80_Alpha20,0.02765403055287949
Core90_AlphaRegime10,0.0
Core85_AlphaRegime15,0.0
SPY,0.0
QQQ,0.0
VT,0.0
TOPIX,0.0
