,Baseline,Residual_05,Residual_10,Residual_15,Residual_20,Residual_25,Residual_30,Residual_35,Residual_40,Residual_45,Residual_50,Residual_55,Residual_60,Residual_65,Residual_70,Residual_75,Residual_80,Residual_85,Residual_90,Residual_95,Residual_100
2019-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-30,0.0028888108983871064,0.0028888108983871064,0.0028888108983871064,0.0028888108983871064,0.0028888108983871064,0.0028888108983871064,-0.008607932981499755,-0.008607932981499755,-0.008607932981499755,-0.008607932981499755,-0.008607932981499755,-0.008607932981499755,-0.008607932981499755,-0.008607932981499755,-0.008607932981499755,-0.008607932981499755,-0.002496431862285098,-0.002496431862285098,-0.002496431862285098,-0.002496431862285098,-0.002496431862285098
2019-05-31,0.009176398676807418,0.009176398676807418,0.009176398676807418,0.009176398676807418,0.009176398676807418,0.009176398676807418,0.0178977412352872,0.0178977412352872,0.0178977412352872,0.0178977412352872,0.0178977412352872,0.0178977412352872,0.0178977412352872,0.0178977412352872,0.0178977412352872,0.0178977412352872,0.0034887921117154885,0.0034887921117154885,0.0034887921117154885,0.0034887921117154885,0.0034887921117154885
2019-06-30,-0.004510222861157209,-0.004510222861157209,-0.004510222861157209,-0.004510222861157209,-0.004510222861157209,-0.004510222861157209,-0.006016801982173026,-0.006016801982173026,-0.006016801982173026,-0.006016801982173026,-0.006016801982173026,-0.006016801982173026,-0.006016801982173026,-0.006016801982173026,-0.006016801982173026,-0.006016801982173026,-0.005121056689815662,-0.005121056689815662,-0.005121056689815662,-0.005121056689815662,-0.005121056689815662
2019-07-31,-0.01634233560694731,-0.01634233560694731,-0.01634233560694731,-0.01634233560694731,-0.01634233560694731,-0.01634233560694731,-0.01634233560694731,-0.01634233560694731,-0.01634233560694731,-0.01634233560694731,-0.01634233560694731,-0.016848282132338133,-0.016848282132338133,-0.016848282132338133,-0.016126339646603483,-0.016126339646603483,-0.016126339646603483,-0.016126339646603483,-0.016126339646603483,-0.016126339646603483,-0.016126339646603483
2019-08-31,-0.003268931890715643,-0.003268931890715643,-0.003268931890715643,-0.003268931890715643,-0.003268931890715643,-0.003268931890715643,-0.003268931890715643,-0.003268931890715643,-0.003268931890715643,-0.003268931890715643,-0.003268931890715643,0.0043328289284756405,0.0043328289284756405,0.0043328289284756405,0.012121057565509075,0.012121057565509075,0.012121057565509075,0.012121057565509075,0.012121057565509075,0.012121057565509075,0.012121057565509075
2019-09-30,0.028616862431800172,0.028616862431800172,0.028616862431800172,0.028616862431800172,0.028616862431800172,0.028616862431800172,0.028616862431800172,0.028616862431800172,0.028616862431800172,0.028616862431800172,0.028616862431800172,0.029913958668470686,0.029913958668470686,0.029913958668470686,0.02584228390361587,0.02584228390361587,0.02584228390361587,0.02584228390361587,0.02584228390361587,0.02584228390361587,0.02584228390361587
2019-10-31,-0.0008911587606882376,-0.0008911587606882376,-0.0008911587606882376,-0.0008911587606882376,-0.006303581311051687,-0.006303581311051687,-0.006303581311051687,-0.006303581311051687,-0.006303581311051687,-0.006303581311051687,-0.006303581311051687,-0.006303581311051687,-0.006303581311051687,-0.006303581311051687,-0.006303581311051687,-0.006303581311051687,-0.006303581311051687,-0.006303581311051687,-0.007789033248422728,-0.007789033248422728,-0.007789033248422728
