,Baseline,Residual_20,Residual_30,VCP_10,VCP_20,Residual_20_VCP_10,Residual_30_VCP_10,Residual_20_VCP_20
2018-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-31,0.03436811821245844,0.03436811821245844,0.029654925280575783,0.03436811821245844,0.03436811821245844,0.028417706830959455,0.029654925280575783,0.029654925280575783
2019-02-28,-0.004979889459252429,-0.004979889459252429,-0.004703663534422309,-0.004979889459252429,-0.004979889459252429,-0.004608158808334983,-0.004703663534422309,-0.004703663534422309
2019-03-31,0.009502241062498307,0.009502241062498307,-0.019298800312572584,0.009502241062498307,0.009502241062498307,0.0013205211637898895,-0.019298800312572584,-0.019298800312572584
2019-04-30,0.0028888108983871064,0.0028888108983871064,-0.008607932981499755,0.0028888108983871064,0.0028888108983871064,-0.008607932981499755,-0.008607932981499755,-0.008607932981499755
2019-05-31,0.009176398676807418,0.009176398676807418,0.0178977412352872,0.009176398676807418,0.009176398676807418,0.0178977412352872,0.0178977412352872,0.0178977412352872
2019-06-30,-0.004510222861157209,-0.004510222861157209,-0.006016801982173026,-0.004510222861157209,-0.004510222861157209,-0.006016801982173026,-0.006016801982173026,-0.006016801982173026
2019-07-31,-0.01634233560694731,-0.01634233560694731,-0.01634233560694731,-0.01634233560694731,-0.01634233560694731,-0.01634233560694731,-0.01634233560694731,-0.01634233560694731
2019-08-31,-0.003268931890715643,-0.003268931890715643,-0.003268931890715643,-0.003268931890715643,-0.003268931890715643,-0.003268931890715643,-0.003268931890715643,-0.003268931890715643
2019-09-30,0.028616862431800172,0.028616862431800172,0.028616862431800172,0.028616862431800172,0.028616862431800172,0.028616862431800172,0.028616862431800172,0.028616862431800172
2019-10-31,-0.0008911587606882376,-0.006303581311051687,-0.006303581311051687,-0.0008911587606882376,-0.0008911587606882376,-0.006303581311051687,-0.006303581311051687,-0.006303581311051687
2019-11-30,0.04632591659381102,0.04555476304589656,0.04555476304589656,0.04632591659381102,0.04632591659381102,0.04555476304589656,0.04555476304589656,0.04555476304589656
