residual_variant,comparison,variant,cagr_delta,maxdd_abs_delta,vol_delta,calmar_delta,role
Residual_65,N12_vs_N20,Residual_65_N20,0.014696760718494462,-0.014295215817977325,-0.008292763179954359,1.7939357469381418,practical_diversification
Residual_65,N12_vs_N24,Residual_65_N24,0.014696760718494462,-0.014295215817977325,-0.008292763179954359,1.7939357469381418,practical_diversification
Residual_65,N12_vs_N30,Residual_65_N30,0.014696760718494462,-0.014295215817977325,-0.008292763179954359,1.7939357469381418,high_diversification_reference
Residual_65,N12_vs_N40,Residual_65_N40,0.014696760718494462,-0.014295215817977325,-0.008292763179954359,1.7939357469381418,high_diversification_reference
Residual_70,N12_vs_N4,Residual_70_N4,-0.030305829282421426,0.03762035729617441,0.03606617105288339,-1.8920581829519605,concentration_reference
Residual_70,N12_vs_N6,Residual_70_N6,-0.014078090125011267,0.02140361723000983,0.01994712979149347,-1.3395664587313991,concentration_reference
Residual_70,N12_vs_N8,Residual_70_N8,-0.004866380233619072,0.005946469317865355,0.010202740032879305,-0.5447516765480303,concentration_reference
Residual_70,N12_vs_N10,Residual_70_N10,0.00022238032148980125,0.011313890519137892,0.00455455496022273,-0.6963448250382034,concentration_reference
Residual_70,N12_vs_N16,Residual_70_N16,0.012336636303162285,-0.0072143583686113955,-0.008307814147332455,1.2495234336014565,practical_diversification
Residual_70,N12_vs_N20,Residual_70_N20,0.012336636303162285,-0.0072143583686113955,-0.008307814147332455,1.2495234336014565,practical_diversification
Residual_70,N12_vs_N24,Residual_70_N24,0.012336636303162285,-0.0072143583686113955,-0.008307814147332455,1.2495234336014565,practical_diversification
Residual_70,N12_vs_N30,Residual_70_N30,0.012336636303162285,-0.0072143583686113955,-0.008307814147332455,1.2495234336014565,high_diversification_reference
Residual_70,N12_vs_N40,Residual_70_N40,0.012336636303162285,-0.0072143583686113955,-0.008307814147332455,1.2495234336014565,high_diversification_reference
