variant,average_number_of_holdings,average_max_single_name_weight,max_observed_single_name_weight,average_portfolio_herfindahl_index,average_top_3_weight,highest_concentration_date
Baseline_N10,10.0,0.10582534664208361,0.10987653322851093,0.10012323808767616,0.3113785989440061,2019-03-29 00:00:00
Baseline_N12,12.0,0.08844401890746886,0.09164077915136473,0.08345563828330965,0.2616062927461599,2019-03-29 00:00:00
Baseline_N16,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Baseline_N20,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Baseline_N24,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Baseline_N30,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Baseline_N4,4.0,0.2602355455892508,0.2716728387329231,0.25024269789672227,0.7591356937862128,2019-03-29 00:00:00
Baseline_N40,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Baseline_N6,6.0,0.1746111313428432,0.18144129491919722,0.16684250288932234,0.5129152664349461,2019-03-29 00:00:00
Baseline_N8,8.0,0.13098766138139822,0.13645070419284805,0.12512161377065947,0.3864846879866891,2019-03-29 00:00:00
Residual_100_N10,10.0,0.10633767681796992,0.11145746645361672,0.10015192344084944,0.3129413628241753,2019-03-29 00:00:00
Residual_100_N12,12.0,0.08878846146643439,0.09273787692522303,0.08346417701474396,0.26188475010248613,2019-03-29 00:00:00
Residual_100_N16,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_100_N20,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_100_N24,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_100_N30,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_100_N4,4.0,0.2625331902345126,0.2716728387329231,0.250315989701901,0.7598751226785385,2019-03-29 00:00:00
Residual_100_N40,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_100_N6,6.0,0.17608118308941043,0.18466985612145584,0.16687617628076798,0.5128233343940382,2019-03-29 00:00:00
Residual_100_N8,8.0,0.13241846425154322,0.13826863068784787,0.12517306139820494,0.3882980157536643,2019-03-29 00:00:00
Residual_50_N10,10.0,0.10597546418993331,0.10987653322851093,0.10013831747927426,0.31246117473434926,2019-03-29 00:00:00
Residual_50_N12,12.0,0.08861125138779874,0.09299480359901702,0.08345775683981702,0.2614106365247061,2019-03-29 00:00:00
Residual_50_N16,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_50_N20,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_50_N24,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_50_N30,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_50_N4,4.0,0.2617208165661127,0.2716728387329231,0.25028367498328186,0.7594883966989836,2019-03-29 00:00:00
Residual_50_N40,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_50_N6,6.0,0.1745510890428087,0.1830821465867246,0.16682112898251714,0.5115417443642208,2019-03-29 00:00:00
Residual_50_N8,8.0,0.1313292564358535,0.13645070419284805,0.12512468805853155,0.38693939102636365,2019-03-29 00:00:00
Residual_55_N10,10.0,0.1061701878709963,0.11145746645361672,0.10014707455409519,0.3125655042561015,2019-03-29 00:00:00
Residual_55_N12,12.0,0.08870455306439198,0.09299480359901702,0.08346246797043555,0.26168403671534013,2019-03-29 00:00:00
Residual_55_N16,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_55_N20,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_55_N24,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_55_N30,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_55_N4,4.0,0.2627510615435658,0.2716728387329231,0.25031183197382034,0.7596705602449045,2019-03-29 00:00:00
Residual_55_N40,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_55_N6,6.0,0.17525467076356357,0.18199138879136162,0.16683807038677229,0.5121221741826961,2019-03-29 00:00:00
Residual_55_N8,8.0,0.13180574735787756,0.13826863068784787,0.12514842864492642,0.3874942740928018,2019-03-29 00:00:00
Residual_60_N10,10.0,0.10617264558685341,0.11145746645361672,0.10014705908434443,0.31257274820245534,2019-03-29 00:00:00
Residual_60_N12,12.0,0.08870455306439198,0.09299480359901702,0.08346246797043555,0.26168403671534013,2019-03-29 00:00:00
Residual_60_N16,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_60_N20,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
Residual_60_N24,16.0,0.06653491897426335,0.06953342427210571,0.06258896277310116,0.1969823599381454,2019-03-29 00:00:00
